 0,0,-3,1550574854863025
 334,349,0,1550574855229895
 352,346,0,1550574855237733
 378,346,0,1550574855245759
 412,346,0,1550574855253873
 444,346,0,1550574855262216
 478,346,0,1550574855269885
 510,346,0,1550574855277989
 542,346,0,1550574855287033
 574,346,0,1550574855294720
 598,346,0,1550574855301959
 624,346,0,1550574855309683
 646,346,0,1550574855317723
 666,346,0,1550574855326745
 684,342,0,1550574855333950
 702,342,0,1550574855342720
 720,340,0,1550574855349843
 734,338,0,1550574855359085
 752,336,0,1550574855365738
 768,332,0,1550574855373897
 786,330,0,1550574855382016
 804,328,0,1550574855389902
 822,326,0,1550574855397862
 840,323,0,1550574855405726
 857,321,0,1550574855414537
 873,319,0,1550574855421894
 890,317,0,1550574855431049
 906,313,0,1550574855437742
 922,312,0,1550574855445857
 940,310,0,1550574855454563
 958,308,0,1550574855462014
 974,304,0,1550574855469969
 992,303,0,1550574855477705
 1009,301,0,1550574855485769
 1027,299,0,1550574855494606
 1046,295,0,1550574855501850
 1060,295,0,1550574855510750
 1073,295,0,1550574855518767
 1088,295,0,1550574855526508
 1100,295,0,1550574855533950
 1115,295,0,1550574855542157
 1125,295,0,1550574855549985
 1138,295,0,1550574855557713
 1151,295,0,1550574855566260
 1162,297,0,1550574855573865
 1175,299,0,1550574855581969
 1188,299,0,1550574855589973
 1203,304,0,1550574855597854
 1215,305,0,1550574855605688
 1228,308,0,1550574855613932
 1241,313,0,1550574855621933
 1254,320,0,1550574855631049
 1262,323,0,1550574855637787
 1269,329,0,1550574855645868
 1276,335,0,1550574855654310
 1277,337,0,1550574855661915
 1277,341,0,1550574855669906
 1277,343,0,1550574855678810
 1277,345,0,1550574855685776
 1277,347,0,1550574855693683
 1277,349,0,1550574855702652
 1277,352,0,1550574855710964
 1274,355,0,1550574855718052
 1273,357,0,1550574855726435
 1271,360,0,1550574855733787
 1268,363,0,1550574855741892
 1264,367,0,1550574855749918
 1259,370,0,1550574855757912
 1256,374,0,1550574855765891
 1254,376,0,1550574855773724
 1249,379,0,1550574855781880
 1247,380,0,1550574855790183
 1243,382,0,1550574855798057
 1240,385,0,1550574855807618
 1236,387,0,1550574855813703
 1233,389,0,1550574855821657
 1231,389,0,1550574855829844
 1228,390,0,1550574855838015
 1224,392,0,1550574855846177
 1221,392,0,1550574855855344
 1216,394,0,1550574855861825
 1209,395,0,1550574855869924
 1201,395,0,1550574855878633
 1193,395,0,1550574855885831
 1186,395,0,1550574855894032
 1178,395,0,1550574855903372
 1172,395,0,1550574855910649
 1168,395,0,1550574855917946
 1164,395,0,1550574855928004
