#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -170,          0.5671726167201996,        mountains,                        5600,                  7.57(1.48),               5.19(2.70)
2,             -1,                    -92,          0.30719858407974243,        angry_face,                        2120,                  3.34(1.91),               5.18(2.52)
3,             -1,                    -83,          0.2760148048400879,        attack_dog,                        1525,                  3.09(1.72),               6.51(2.25)
4,             -1,                    -86,          0.2911834120750427,        wedding,                        4628,                  7.23(1.72),               5.19(2.11)
5,             -1,                    -78,          0.26241129636764526,        mutilation,                        3010,                  1.71(1.19),               7.16(2.24)
6,             -1,                    -149,          0.49679258465766907,        injury,                        3103,                  2.07(1.27),               6.06(2.30)
7,             -1,                    -66,          0.220005601644516,        father,                        2165,                  7.63(1.48),               4.55(2.55)
8,             -1,                    -52,          0.17282551527023315,        neut_baby,                        2260,                  8.06(1.42),               4.26(2.44)
9,             -1,                    -46,          0.1527937948703766,        organs,                        3019,                  2.99(1.74),               6.30(2.14)
