#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -126,          0.5792120099067688,        kid,                        2035,                  7.52(1.33),               3.69(2.11)
2,             -1,                    -71,          0.2383812963962555,        baby,                        2070,                  8.17(1.46),               4.51(2.74)
3,             1,                    -32,          0.2920019030570984,        romance,                        4622,                  7.46(1.61),               4.11(2.30)
4,             -1,                    -78,          0.2759757936000824,        kid_cry,                        2301,                  2.78(1.38),               4.57(1.96)
5,             -1,                    -72,          0.27600371837615967,        hunters,                        2688,                  2.73(2.07),               5.98(2.22)
6,             -1,                    -40,          0.1671919822692871,        mickey,                        1999,                  7.43(1.47),               4.77(2.40)
7,             -1,                    -7,          0.2504326105117798,        romance,                        4603,                  7.10(1.58),               4.89(2.26)
8,             1,                    16,          0.26720118522644043,        mutilation,                        3150,                  2.26(1.57),               6.55(2.20)
9,             -1,                    -9,          0.16882100701332092,        mutilation,                        3062,                  1.87(1.31),               5.78(2.57)
