#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             1,                    19,          0.3919346034526825,        injury,                        3103,                  2.07(1.27),               6.06(2.30)
2,             1,                    103,          0.552011102437973,        mountains,                        5600,                  7.57(1.48),               5.19(2.70)
3,             1,                    132,          0.4879922866821289,        attack_dog,                        1525,                  3.09(1.72),               6.51(2.25)
4,             1,                    82,          0.5000078976154327,        wedding,                        4628,                  7.23(1.72),               5.19(2.11)
5,             1,                    123,          0.45046642422676086,        father,                        2165,                  7.63(1.48),               4.55(2.55)
6,             1,                    -48,          0.694362074136734,        mutilation,                        3010,                  1.71(1.19),               7.16(2.24)
7,             1,                    45,          0.4631864130496979,        angry_face,                        2120,                  3.34(1.91),               5.18(2.52)
8,             1,                    139,          0.5007897019386292,        neut_baby,                        2260,                  8.06(1.42),               4.26(2.44)
9,             1,                    254,          0.8480550050735474,        porpoise,                        1920,                  7.90(1.48),               4.27(2.53)
10,             1,                    151,          0.6159491837024689,        organs,                        3019,                  2.99(1.74),               6.30(2.14)
