#slide_no, emotion_on_click,     avg_emo,      elapsed_time,               image_description,          image_no,           valence_mean(SD),         arousal_mean(SD)
1,             -1,                    -107,          0.3575673997402191,        neut_baby,                        2260,                  8.06(1.42),               4.26(2.44)
2,             -1,                    -133,          0.440816193819046,        mutilation,                        3010,                  1.71(1.19),               7.16(2.24)
3,             1,                    -48,          0.46159788966178894,        injury,                        3103,                  2.07(1.27),               6.06(2.30)
4,             -1,                    -125,          0.542380303144455,        wedding,                        4628,                  7.23(1.72),               5.19(2.11)
5,             -1,                    -142,          0.5072770118713379,        mountains,                        5600,                  7.57(1.48),               5.19(2.70)
6,             1,                    -25,          0.3839556872844696,        angry_face,                        2120,                  3.34(1.91),               5.18(2.52)
7,             -1,                    -100,          0.3328202962875366,        attack_dog,                        1525,                  3.09(1.72),               6.51(2.25)
8,             -1,                    -57,          0.5159535109996796,        porpoise,                        1920,                  7.90(1.48),               4.27(2.53)
9,             1,                    -25,          0.3031919002532959,        organs,                        3019,                  2.99(1.74),               6.30(2.14)
10,             -1,                    1,          0.4176139831542969,        father,                        2165,                  7.63(1.48),               4.55(2.55)
